Signatur;Titel;Spalte2
 Cod. 12000;Historiae provinciae Bohemiae Societatis Iesu liber XII: Compendium totius historiae chronologicum a. 1555-1721;Cod.
 Cod. 12001;Historiae provinciae Bohemiae Societatis Iesu liber IX: Memoriae fundatorum et benefactorum etc.;Cod.
 Cod. 12002;Historiae provinciae Bohemiae Societatis Iesu liber VIII: Persecutiones et adversitates, quas in terris Bohemiae passa est Societati Iesu;Cod.
 Cod. 12004;Supplementum historiae collegii Societatis Iesu Pragae ad S. Clementem a. 1701-1729;Cod.
 Cod. 12005;Litterae annuae provinciae Poloniae Societatis Iesu a. 1606-1608;Cod.
 Cod. 12006;Litterae annuae provinciae Poloniae Societatis Iesu a. 1586, 1595, 1598, 1599, 1604 et 1605;Cod.
 Cod. 12009;Tabulae sex impressae defunctorum a. 1762-1770 sodalium Societatis Iesu;Cod.
 Cod. 12011;Synopsis historiae collegii Pragensis Societatis Iesu ad S. Clementem a. 1555-1700 cum supplemento a. 1701-1729;Cod.
 Cod. 12012;Litterae annuae provinciae Poloniae Societatis Iesu a. 1630, 1636, 1639, 1653 et 1658;Cod.
 Cod. 12013;Litterae annuae provinciae Poloniae Societatis Iesu a. 1609-1613 et 1616;Cod.
 Cod. 12015;Domus professae Societatis Iesu Pragensis instrumenta a. 1628-1654 collecta a. 1676;Cod.
 Cod. 12016;Conspectus rationum acceptorum et expositorum in omnibus domis, collegiis, missionibus, residentiis etc. Societatis iesu a. 1714 in mundo universo;Cod.
 Cod. 12017;Rationes musicorum a. 1702-1727 in collegio Zatecensi Societatis Iesu;Cod.
 Cod. 12019;Diarium residententiae Societatis Iesu Wartenbergensis a. 1698-1721;Cod.
 Cod. 12021;Rapularium expositorum collegii cuiusdam Societatis Iesu Polonici ut videtur Leopoliensis a. 1759-1764;Cod.
 Cod. 12022;Liber statuum actualium domiciliorum provinciae minoris Poloniae Societatis Iesu a. 1764;Cod.
 Cod. 12023;Catalogus librorum in bibliotheca collegii Premysliensis Societatis Iesu contentorum a. 1742;Cod.
 Cod. 12024;Album omnium theologorum, qui studiis theologicis a. 1714-1743 in collegiis Societatis Iesu operam dederunt, adiectis notis biographicis;Cod.
 Cod. 12025;Liber epistolarum Societatis Iesu et scholas eiusdem Societatis Iesu concernentium a generalibus et provincialibus transmissarum rectoribus collegii Leopoliensis in provincia Poloniae;Cod.
 Cod. 12026;Historia collegii Olomucensis Societatis Iesu: Pars prior a. 1566-1727;Cod.
 Cod. 12027;Liber ordinationum collegii Leopoliensis Societatis Iesu a. 1592-1691;Cod.
 Cod. 12028;Historia collegii Olomucensis Societatis Iesu: Pars posterior a. 1728-1766;Cod.
 Cod. 12029;Epistolae generalium Societatis Iesu quas communes ad Societatem scribere solent a. 1646-1754;Cod.
 Cod. 12030;Forma et ratio gubernandi academias et studia generalia Societatis Iesu in provincia Austriae;Cod.
 Cod. 12030;Litterae circulares de modo studendi (in scholis Societatis Iesu) a. 1768;Cod.
 Cod. 12031;Litterae annuae provinciae Austriae Societatis Iesu a. 1633;Cod.
 Cod. 12032;Litterae annuae provinciae Austriae Societatis Iesu a. 1635;Cod.
 Cod. 12033;Litterae annuae provinciae Austriae Societatis Iesu a. 1636;Cod.
 Cod. 12034;Litterae annuae provinciae Austriae Societatis Iesu a. 1637;Cod.
 Cod. 12035;Litterae annuae provinciae Austriae Societatis Iesu a. 1638;Cod.
 Cod. 12036;Litterae annuae provinciae Austriae Societatis Iesu a. 1639;Cod.
 Cod. 12037;Litterae annuae provinciae Austriae Societatis Iesu a. 1640;Cod.
 Cod. 12038;Litterae annuae provinciae Austriae Societatis Iesu a. 1641;Cod.
 Cod. 12039;Litterae annuae provinciae Austriae Societatis Iesu a. 1642;Cod.
 Cod. 12040;Litterae annuae provinciae Austriae Societatis Iesu a. 1643;Cod.
 Cod. 12041;Litterae annuae provinciae Austriae Societatis Iesu a. 1644;Cod.
 Cod. 12042;Litterae annuae provinciae Austriae Societatis Iesu a. 1645;Cod.
 Cod. 12043;Litterae annuae provinciae Austriae Societatis Iesu a. 1646;Cod.
 Cod. 12044;Litterae annuae provinciae Austriae Societatis Iesu a. 1647;Cod.
 Cod. 12045;Litterae annuae provinciae Austriae Societatis Iesu a. 1648;Cod.
 Cod. 12046;Litterae annuae provinciae Austriae Societatis Iesu a. 1649;Cod.
 Cod. 12047;Litterae annuae provinciae Austriae Societatis Iesu a. 1650;Cod.
 Cod. 12048;Litterae annuae provinciae Austriae Societatis Iesu a. 1651;Cod.
 Cod. 12049;Litterae annuae provinciae Austriae Societatis Iesu a. 1652;Cod.
 Cod. 12050;Litterae annuae provinciae Austriae Societatis Iesu a. 1653;Cod.
 Cod. 12051;Litterae annuae provinciae Austriae Societatis Iesu a. 1654;Cod.
 Cod. 12052;Litterae annuae provinciae Austriae Societatis Iesu a. 1655;Cod.
